,Date,Dead,Description,Injured,Location,Total,dt,Suspects Dead,Suspects Injured,Year,Month,Day,City,State,loc,loc_name,loc_coords,lat,long,wrapped_descr,Location_
0,"August 4, 2019",10,2019 Dayton shooting: Nine people killed and 26 injured in a bar. One suspect deceased. Investigation continues.,26,"Dayton, Ohio",36,2019-08-04,1,0,2019,8,4,Dayton, Ohio,"Dayton, Montgomery County, Ohio, USA","Dayton, Montgomery County, Ohio, USA","(39.7589478, -84.1916069)",39.7589478,-84.1916069,"2019 Dayton
shooting: Nine
people killed and 26
injured in a bar.
One suspect
deceased.
Investigation
continues.","Dayton, Ohio"
1,"August 3, 2019",20,"2019 El Paso shooting: Cielo Vista Mall, 20 people confirmed dead, 26 wounded at Walmart The gunman arrested.",26,"El Paso, Texas",46,2019-08-03,0,0,2019,8,3,El Paso, Texas,"El Paso, El Paso County, Texas, USA","El Paso, El Paso County, Texas, USA","(31.7600372, -106.487287)",31.7600372,-106.487287,"2019 El Paso
shooting: Cielo
Vista Mall, 20
people confirmed
dead, 26 wounded at
Walmart The gunman
arrested.","El Paso, Texas"
2,"July 28, 2019",4,"Gilroy Garlic Festival shooting: Gunman killed 3 people, including one 6 year-old boy, attending Gilroy's annual Garlic Festival; 12 more people injured. The shooter killed himself.",15,"Gilroy, California",19,2019-07-28,1,0,2019,7,28,Gilroy, California,"Gilroy, Santa Clara County, California, USA","Gilroy, Santa Clara County, California, USA","(37.0065078, -121.5631723)",37.0065078,-121.5631723,"Gilroy Garlic
Festival shooting:
Gunman killed 3
people, including
one 6 year-old boy,
attending Gilroy's
annual Garlic
Festival; 12 more
people injured. The
shooter killed
himself.","Gilroy, California"
3,"May 31, 2019",13,Virginia Beach shooting: A gunman killed 12 people and injured five others at a municipal building. The gunman died at the scene.[9],5,"Virginia Beach, Virginia",18,2019-05-31,1,0,2019,5,31,Virginia Beach, Virginia,"Virginia Beach, Virginia, 23451, USA","Virginia Beach, Virginia, 23451, USA","(36.8529841, -75.9774183)",36.8529841,-75.9774183,"Virginia Beach
shooting: A gunman
killed 12 people and
injured five others
at a municipal
building. The gunman
died at the
scene.[9]","Virginia Beach, Virginia"
4,"May 7, 2019",1,"STEM School Highlands Ranch shooting: A school shooting was reported at STEM School Highlands Ranch, around 1:50 p.m, two shooters targeted separate locations and killed one student and injured eight more before being arrested.[10]",8,"Highlands Ranch, Colorado",9,2019-05-07,0,0,2019,5,7,Highlands Ranch, Colorado,"Highlands Ranch, Douglas County, Colorado, 80126, USA","Highlands Ranch, Douglas County, Colorado, 80126, USA","(39.5538771, -104.9694264)",39.5538771,-104.9694264,"STEM School
Highlands Ranch
shooting: A school
shooting was
reported at STEM
School Highlands
Ranch, around 1:50
p.m, two shooters
targeted separate
locations and killed
one student and
injured eight more
before being
arrested.[10]","Highlands Ranch, Colorado"
5,"April 30, 2019",2,"2019 UNCC shooting: Six people were shot, including two fatally, on the last day of classes at the University of North Carolina at Charlotte. The student gunman was taken into custody after he ran out of ammunition.[11]",4,"Charlotte, North Carolina",6,2019-04-30,0,0,2019,4,30,Charlotte, North Carolina,"Charlotte, Mecklenburg County, North Carolina, USA","Charlotte, Mecklenburg County, North Carolina, USA","(35.2270869, -80.8431268)",35.2270869,-80.8431268,"2019 UNCC shooting:
Six people were
shot, including two
fatally, on the last
day of classes at
the University of
North Carolina at
Charlotte. The
student gunman was
taken into custody
after he ran out of
ammunition.[11]","Charlotte, North Carolina"
6,"April 27, 2019",1,Poway synagogue shooting: One person was killed and at least three were wounded by a shooter at the Chabad of Poway synagogue.[12],3,"Poway, California",4,2019-04-27,0,0,2019,4,27,Poway, California,"Poway, San Diego County, California, 92064, USA","Poway, San Diego County, California, 92064, USA","(32.9628234, -117.0358646)",32.9628234,-117.0358646,"Poway synagogue
shooting: One person
was killed and at
least three were
wounded by a shooter
at the Chabad of
Poway synagogue.[12]","Poway, California"
7,"February 15, 2019",6,"Aurora, Illinois, shooting: A 45-year old man opened fire at a Henry Pratt Company plant and killed five people and injured six others. He was a former worker at the plant and he was killed in a shootout with police.",6,"Aurora, Illinois",12,2019-02-15,1,0,2019,2,15,Aurora, Illinois,"Aurora, Kane County, Illinois, USA","Aurora, Kane County, Illinois, USA","(41.7571701, -88.3147539)",41.7571701,-88.3147539,"Aurora, Illinois,
shooting: A 45-year
old man opened fire
at a Henry Pratt
Company plant and
killed five people
and injured six
others. He was a
former worker at the
plant and he was
killed in a shootout
with police.","Aurora, Illinois"
8,"January 28, 2019",2,Pecan Park raid: Two people were killed and four police officers were injured during a drug raid at a home.,4,"Houston, Texas",6,2019-01-28,0,0,2019,1,28,Houston, Texas,"Houston, Harris County, Texas, USA","Houston, Harris County, Texas, USA","(29.7589382, -95.3676974)",29.7589382,-95.3676974,"Pecan Park raid: Two
people were killed
and four police
officers were
injured during a
drug raid at a home.","Houston, Texas"
9,"January 26, 2019",5,"January 2019 Louisiana shootings: A 21-year old man killed five people, including his parents, in two parishes in Louisiana.[13]",0,"Ascension Parish, Louisiana, and Livingston Parish, Louisiana",5,2019-01-26,0,0,2019,1,26,Ascension Parish, Louisiana,"Ascension Court, Livingston Trace, Lockhart, Livingston Parish, Louisiana, 70726, USA","Ascension Court, Livingston Trace, Lockhart, Livingston Parish, Louisiana, 70726, USA","(30.4428971, -90.9038556)",30.4428971,-90.9038556,"January 2019
Louisiana shootings:
A 21-year old man
killed five people,
including his
parents, in two
parishes in
Louisiana.[13]","Ascension Parish, Louisiana"
10,"January 23, 2019",5,2019 Sebring shooting: Five people were killed in a hostage incident and shooting at a bank. The suspect was taken into custody by police.[14],0,"Sebring, Florida",5,2019-01-23,0,0,2019,1,23,Sebring, Florida,"Sebring, Highlands County, Florida, 33870, USA","Sebring, Highlands County, Florida, 33870, USA","(27.4957453, -81.4410425)",27.4957453,-81.4410425,"2019 Sebring
shooting: Five
people were killed
in a hostage
incident and
shooting at a bank.
The suspect was
taken into custody
by police.[14]","Sebring, Florida"
11,"November 19, 2018",4,"Mercy Hospital shooting: A gunman opened fire in the Mercy Hospital and Medical Center in Chicago, killing a doctor at the hospital who was his former fiancée, a police officer, and one other person before being killed either by himself or by police.[15]",0,"Chicago, Illinois",4,2018-11-19,1,0,2018,11,19,Chicago, Illinois,"Chicago, Cook County, Illinois, USA","Chicago, Cook County, Illinois, USA","(41.8755616, -87.6244212)",41.8755616,-87.6244212,"Mercy Hospital
shooting: A gunman
opened fire in the
Mercy Hospital and
Medical Center in
Chicago, killing a
doctor at the
hospital who was his
former fiancée, a
police officer, and
one other person
before being killed
either by himself or
by police.[15]","Chicago, Illinois"
12,"November 11, 2018",1,"Shooting of Jemel Roberson: A man re-entered a bar after being ejected and began to fire, wounding three people and becoming injured himself. Armed security guards apprehended the suspect. Responding officers saw one of the security guards with a gun, and shot and killed him.[16]",4,"Robbins, Illinois",5,2018-11-11,0,1,2018,11,11,Robbins, Illinois,"Robbins, Cook County, Illinois, 60472, USA","Robbins, Cook County, Illinois, 60472, USA","(41.6439227, -87.7036602)",41.6439227,-87.7036602,"Shooting of Jemel
Roberson: A man re-
entered a bar after
being ejected and
began to fire,
wounding three
people and becoming
injured himself.
Armed security
guards apprehended
the suspect.
Responding officers
saw one of the
security guards with
a gun, and shot and
killed him.[16]","Robbins, Illinois"
13,"November 7, 2018",13,"Thousand Oaks shooting: A man entered a bar hosting a student line-dancing event and killed twelve people, including a police officer. At least twelve other people were injured. The gunman then killed himself.[17]",12,"Thousand Oaks, California",25,2018-11-07,1,0,2018,11,7,Thousand Oaks, California,"Thousand Oaks, Ventura County, California, USA","Thousand Oaks, Ventura County, California, USA","(34.17142715, -118.910587729744)",34.17142715,-118.910587729744,"Thousand Oaks
shooting: A man
entered a bar
hosting a student
line-dancing event
and killed twelve
people, including a
police officer. At
least twelve other
people were injured.
The gunman then
killed himself.[17]","Thousand Oaks, California"
14,"November 2, 2018",3,"2018 Tallahassee attack: A man entered a yoga studio and killed two women and injured five others; four by gunshots and one by pistol-whipping, before committing suicide.[18]",5,"Tallahassee, Florida",8,2018-11-02,1,2,2018,11,2,Tallahassee, Florida,"Tallahassee, Leon County, Florida, USA","Tallahassee, Leon County, Florida, USA","(30.4380832, -84.2809332)",30.4380832,-84.2809332,"2018 Tallahassee
attack: A man
entered a yoga
studio and killed
two women and
injured five others;
four by gunshots and
one by pistol-
whipping, before
committing
suicide.[18]","Tallahassee, Florida"
15,"October 27, 2018",11,"Pittsburgh synagogue shooting: A man opened fire in the Tree of Life synagogue in an antisemitic attack, killing eleven people and injuring six others (including four police officers). The suspect was taken into custody by police.[19][20]",6,"Pittsburgh, Pennsylvania",17,2018-10-27,0,0,2018,10,27,Pittsburgh, Pennsylvania,"PGH, Allegheny County, Pennsylvania, USA","PGH, Allegheny County, Pennsylvania, USA","(40.4416941, -79.9900861)",40.4416941,-79.9900861,"Pittsburgh synagogue
shooting: A man
opened fire in the
Tree of Life
synagogue in an
antisemitic attack,
killing eleven
people and injuring
six others
(including four
police officers).
The suspect was
taken into custody
by police.[19][20]","Pittsburgh, Pennsylvania"
16,"October 3, 2018",2,"Florence shooting: Officers were shot at during a two hour standoff while attempting to execute a search warrant. The perpetrator held children hostage, killing one and wounding seven before being arrested.[21]",10,"Florence, South Carolina",12,2018-10-03,0,0,2018,10,3,Florence, South Carolina,"Florence, Florence County, South Carolina, USA","Florence, Florence County, South Carolina, USA","(34.1984435, -79.7671658)",34.1984435,-79.7671658,"Florence shooting:
Officers were shot
at during a two hour
standoff while
attempting to
execute a search
warrant. The
perpetrator held
children hostage,
killing one and
wounding seven
before being
arrested.[21]","Florence, South Carolina"
17,"September 20, 2018",4,Aberdeen shooting: An employee of the Rite Aid Distribution facility killed three victims before wounding herself. The shooter died later in the hospital.[22],3,"Aberdeen, Maryland",7,2018-09-20,1,0,2018,9,20,Aberdeen, Maryland,"Aberdeen, Harford County, Maryland, 21101, USA","Aberdeen, Harford County, Maryland, 21101, USA","(39.5095556, -76.1641197)",39.5095556,-76.1641197,"Aberdeen shooting:
An employee of the
Rite Aid
Distribution
facility killed
three victims before
wounding herself.
The shooter died
later in the
hospital.[22]","Aberdeen, Maryland"
18,"September 6, 2018",4,"Fifth Third Center shooting: A gunman entered a loading dock at the Fifth Third Center skyscraper and opened fire before entering the lobby of a building. Four people, including the shooter, were killed and two were injured.[23]",2,"Cincinnati, Ohio",6,2018-09-06,1,0,2018,9,6,Cincinnati, Ohio,"Cincinnati, Hamilton County, Ohio, USA","Cincinnati, Hamilton County, Ohio, USA","(39.1014537, -84.5124602)",39.1014537,-84.5124602,"Fifth Third Center
shooting: A gunman
entered a loading
dock at the Fifth
Third Center
skyscraper and
opened fire before
entering the lobby
of a building. Four
people, including
the shooter, were
killed and two were
injured.[23]","Cincinnati, Ohio"
19,"August 26, 2018",3,"Jacksonville Landing shooting: A gunman killed two people and wounded eleven more (nine with gunshot wounds) at a Madden NFL 19 competition before killing himself. The shooter was identified as David Katz, an individual who had reportedly been eliminated from the competition before the shooting.[24][25][26]",9,"Jacksonville, Florida",14,2018-08-26,1,0,2018,8,26,Jacksonville, Florida,"Jacksonville, Duval County, Florida, USA","Jacksonville, Duval County, Florida, USA","(30.3321838, -81.655651)",30.3321838,-81.655651,"Jacksonville Landing
shooting: A gunman
killed two people
and wounded eleven
more (nine with
gunshot wounds) at a
Madden NFL 19
competition before
killing himself. The
shooter was
identified as David
Katz, an individual
who had reportedly
been eliminated from
the competition
before the shooting.
[24][25][26]","Jacksonville, Florida"
20,"June 28, 2018",5,Capital Gazette shooting: A gunman entered the offices of The Capital Gazette and killed five employees and wounded two others.[27][28],2,"Annapolis, Maryland",7,2018-06-28,0,0,2018,6,28,Annapolis, Maryland,"Annapolis, Anne Arundel County, Maryland, USA","Annapolis, Anne Arundel County, Maryland, USA","(38.9786401, -76.492786)",38.9786401,-76.492786,"Capital Gazette
shooting: A gunman
entered the offices
of The Capital
Gazette and killed
five employees and
wounded two
others.[27][28]","Annapolis, Maryland"
